trades_count,buy_count,sell_count,total_volume,t0_profit,date,closing_price,symbol,stock_name
3,2,1,41808.12272098582,267.04011065006927,2023-01-03,7.23,SH600000,浦发银行
3,2,1,38035.9612724759,537.5795297372076,2023-01-04,7.31,SH600000,浦发银行
2,0,2,23820.50099892431,537.5795297372076,2023-01-05,7.35,SH600000,浦发银行
2,0,2,24698.67615095839,537.5795297372076,2023-01-06,7.34,SH600000,浦发银行
3,2,1,38035.9612724758,773.2849239280787,2023-01-09,7.34,SH600000,浦发银行
2,2,0,28650.46433511172,773.2849239280787,2023-01-10,7.28,SH600000,浦发银行
2,1,1,28650.464335111617,773.2849239280787,2023-01-11,7.3,SH600000,浦发银行
2,2,0,23820.50099892431,773.2849239280787,2023-01-12,7.27,SH600000,浦发银行
1,0,1,11361.391029440798,773.2849239280787,2023-01-13,7.34,SH600000,浦发银行
3,2,1,39419.08713692944,1160.7745504840914,2023-01-16,7.33,SH600000,浦发银行
2,1,1,26894.11403104345,1160.7745504840914,2023-01-17,7.3,SH600000,浦发银行
2,1,1,29967.72706316268,1160.7745504840914,2023-01-18,7.31,SH600000,浦发银行
2,1,1,28650.464335111617,1160.7745504840914,2023-01-19,7.33,SH600000,浦发银行
1,1,0,8990.318118948875,1160.7745504840914,2023-01-20,7.36,SH600000,浦发银行
1,0,1,13831.25864453673,1160.7745504840914,2023-01-30,7.4,SH600000,浦发银行
2,2,0,25933.609958506266,1160.7745504840914,2023-01-31,7.37,SH600000,浦发银行
2,1,1,28650.464335111617,1160.7745504840914,2023-02-01,7.36,SH600000,浦发银行
3,2,1,38035.9612724758,1395.80221300138,2023-02-02,7.36,SH600000,浦发银行
3,1,2,42646.380820654544,1395.80221300138,2023-02-03,7.27,SH600000,浦发银行
3,2,1,40011.855364552415,1620.2578541790128,2023-02-06,7.25,SH600000,浦发银行
1,0,1,14522.821576763536,1620.2578541790128,2023-02-07,7.24,SH600000,浦发银行
1,1,0,8990.318118948973,1620.2578541790128,2023-02-08,7.23,SH600000,浦发银行
2,1,1,29967.72706316248,1915.4399657511503,2023-02-09,7.26,SH600000,浦发银行
1,0,1,11756.569847856254,1915.4399657511503,2023-02-10,7.24,SH600000,浦发银行
2,0,2,25933.609958506266,1915.4399657511503,2023-02-13,7.23,SH600000,浦发银行
1,0,1,10373.443983402643,1915.4399657511503,2023-02-14,7.24,SH600000,浦发银行
1,0,1,11361.391029440898,1915.4399657511503,2023-02-15,7.2,SH600000,浦发银行
2,1,1,27662.51728907331,2222.846604755301,2023-02-16,7.19,SH600000,浦发银行
2,0,2,23820.50099892431,2222.846604755301,2023-02-17,7.13,SH600000,浦发银行
4,2,2,55325.03457814662,3298.391951524708,2023-02-20,7.26,SH600000,浦发银行
2,1,1,27662.51728907331,3570.480471580034,2023-02-21,7.29,SH600000,浦发银行
1,0,1,14522.821576763536,3570.480471580034,2023-02-22,7.24,SH600000,浦发银行
1,1,0,11756.569847856254,3570.480471580034,2023-02-23,7.23,SH600000,浦发银行
2,1,1,28650.464335111617,3570.480471580034,2023-02-24,7.18,SH600000,浦发银行
1,1,0,15905.947441217182,3570.480471580034,2023-02-27,7.16,SH600000,浦发银行
2,1,1,29967.727063162685,3570.480471580034,2023-02-28,7.18,SH600000,浦发银行
2,0,2,23261.66226581172,3570.480471580034,2023-03-01,7.26,SH600000,浦发银行
1,1,0,10373.443983402592,3570.480471580034,2023-03-02,7.27,SH600000,浦发银行
3,2,1,40802.21300138306,3880.2647039451786,2023-03-03,7.35,SH600000,浦发银行
2,1,1,29967.72706316268,3880.2647039451786,2023-03-06,7.33,SH600000,浦发银行
6,4,2,80394.19087136936,5315.472172824859,2023-03-07,7.31,SH600000,浦发银行
1,1,0,12102.351313969531,5315.472172824859,2023-03-08,7.31,SH600000,浦发银行
2,2,0,25357.307514983917,5315.472172824859,2023-03-09,7.27,SH600000,浦发银行
3,2,1,39663.168171833095,5315.472172824859,2023-03-10,7.15,SH600000,浦发银行
2,2,0,26509.912402028665,5315.472172824859,2023-03-13,7.06,SH600000,浦发银行
2,2,0,25069.156293222662,5315.472172824859,2023-03-14,7.02,SH600000,浦发银行
1,0,1,13831.25864453673,5315.472172824859,2023-03-15,7.08,SH600000,浦发银行
5,3,2,69156.29322268335,6377.841928472629,2023-03-16,7.12,SH600000,浦发银行
4,3,1,53019.82480405722,6675.960877296973,2023-03-17,7.11,SH600000,浦发银行
4,2,2,50714.61502996774,6675.960877296973,2023-03-20,7.13,SH600000,浦发银行
2,2,0,28650.464335111617,6675.960877296973,2023-03-21,7.13,SH600000,浦发银行
1,1,0,12678.653757491866,6675.960877296973,2023-03-22,7.18,SH600000,浦发银行
3,2,1,43222.68326417693,7018.976091681483,2023-03-23,7.21,SH600000,浦发银行
2,1,1,28650.464335111617,7321.932029243231,2023-03-24,7.21,SH600000,浦发银行
2,2,0,25002.659857431747,7321.932029243231,2023-03-27,7.15,SH600000,浦发银行
1,1,0,11756.569847856106,7321.932029243231,2023-03-28,7.18,SH600000,浦发银行
2,2,0,25933.609958506266,7321.932029243231,2023-03-29,7.16,SH600000,浦发银行
4,2,2,53788.228062087015,8331.182836066659,2023-03-30,7.19,SH600000,浦发银行
3,1,2,38035.961272475804,8331.182836066659,2023-03-31,7.19,SH600000,浦发银行
1,0,1,11756.569847856254,8331.182836066659,2023-04-03,7.19,SH600000,浦发银行
1,0,1,8990.318118948973,8331.182836066659,2023-04-04,7.21,SH600000,浦发银行
1,0,1,10373.443983402643,8331.182836066659,2023-04-06,7.18,SH600000,浦发银行
2,1,1,27662.51728907331,8639.460844365414,2023-04-07,7.23,SH600000,浦发银行
1,1,0,11756.569847856254,8639.460844365414,2023-04-10,7.21,SH600000,浦发银行
2,1,1,31811.89488243416,8639.460844365414,2023-04-11,7.18,SH600000,浦发银行
1,1,0,10373.44398340249,8639.460844365414,2023-04-12,7.21,SH600000,浦发银行
2,2,0,23820.50099892431,8639.460844365414,2023-04-13,7.25,SH600000,浦发银行
1,1,0,10373.443983402389,8639.460844365414,2023-04-14,7.27,SH600000,浦发银行
4,2,2,55325.03457814662,9569.608048475277,2023-04-17,7.39,SH600000,浦发银行
3,1,2,36060.06718039911,10395.646051504971,2023-04-18,7.54,SH600000,浦发银行
5,1,4,59704.93314891646,11330.029177369408,2023-04-19,7.53,SH600000,浦发银行
4,2,2,50229.30770910678,12444.419510047575,2023-04-20,7.68,SH600000,浦发银行
5,2,3,67427.38589211614,13650.937490683811,2023-04-21,7.59,SH600000,浦发银行
5,2,3,64834.02489626562,13830.80955154135,2023-04-24,7.49,SH600000,浦发银行
5,1,4,64102.56410256409,14867.876792737228,2023-04-25,7.56,SH600000,浦发银行
4,3,1,49792.531120332,15399.828383331977,2023-04-26,7.46,SH600000,浦发银行
3,2,1,38035.9612724758,15642.142813945162,2023-04-27,7.48,SH600000,浦发银行
5,3,2,64930.075303519145,16867.732179244063,2023-04-28,7.6,SH600000,浦发银行
4,2,2,51069.26268751992,18916.03802738393,2023-05-04,7.68,SH600000,浦发银行
7,4,3,82987.55186721995,19115.80520119674,2023-05-05,7.76,SH600000,浦发银行
4,2,2,51276.86131633101,20877.329675777582,2023-05-08,8.07,SH600000,浦发银行
4,2,2,51238.52634226071,20877.329675777582,2023-05-09,7.96,SH600000,浦发银行
7,4,3,92022.48694953824,21062.22861835555,2023-05-10,7.7,SH600000,浦发银行
6,4,2,74227.75472568016,21858.634796317747,2023-05-11,7.67,SH600000,浦发银行
2,1,1,25357.30751498387,22115.61958193324,2023-05-12,7.62,SH600000,浦发银行
4,2,2,45643.15352697093,22870.351255515536,2023-05-15,7.69,SH600000,浦发银行
3,2,1,39023.908318514106,23115.543905189515,2023-05-16,7.67,SH600000,浦发银行
